,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_1,DISTANCE_ROAD,DISTANCE_TIME
0,69,69,The Children's Hospital at Saint Francis,40,36.075058,-95.922134,Saint Francis Hospital,36.07312,-95.91816999999999,0.416826992,1244.48,6
1,81,81,Oklahoma Children's Hospital at OU Health,40,35.481821000000004,-97.49754200000001,OU Medicine,35.47851,-97.49797,0.36940118,497.5679999999999,4
2,165,165,The Children's Hospital at OU Medical Center,40,35.481837,-97.49754,OU Medicine,35.47851,-97.49797,0.371185614,497.5679999999999,4
