,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_3,DISTANCE_ROAD,DISTANCE_TIME
0,131,131,West Virginia University Children's Hospital,54,39.653323,-79.957894,UPMC Presbyterian,40.44178,-79.9612,87.54721094,108575.19800000006,102
1,146,146,Hoops Family Children's Hospital,54,38.408978000000005,-82.4282,Ohio State University Wexner Medical Center,39.99493,-83.01756,183.28206169999999,211206.23900000023,192
