,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_1,DISTANCE_ROAD,DISTANCE_TIME
0,72,72,Children's Hospital & Medical Center,31,41.259686,-96.04045,Nebraska Medical Center,41.254799,-95.97882,5.1934766219999995,5570.259000000003,49
1,105,105,Boys Town National Research Hospital,31,41.264412,-95.95661,Nebraska Medical Center,41.254799,-95.97882,2.145738874,3074.5600000000004,21
