,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_1,DISTANCE_ROAD,DISTANCE_TIME
0,3,3,St. Joseph's Children's Hospital,34,40.902527,-74.166824,St. Joseph's Regional Medical Center,40.902719,-74.165087,0.14790267199999999,0,0
1,28,28,The Bristol-Myrs Squibb Children's Hospital,34,40.495073,-74.451888,JFK Medical Center,40.55625,-74.35119,10.90673459,11769.701000000001,59
2,35,35,Joseph M. Sanzari Children's Hospital Hackensack University Medical Center,34,40.88453,-74.05768,St. Joseph's Regional Medical Center,40.902719,-74.165087,9.27387045,10562.866999999998,36
3,36,36,K. Hovnanian Children's Hospital,34,40.20919,-74.04257,Jersey Shore Medical Center,40.20931528,-74.0434046,0.072400665,0,0
4,111,111,The Children's Hospital at Saint Peter's University Hospital,34,40.501846,-74.45922,JFK Medical Center,40.55625,-74.35119,10.96739777,12480.012999999999,58
5,130,130,The Children's Regional Hospital at Cooper,34,39.940807,-75.115746,Cooper University Hospital,39.941520000000004,-75.1168,0.1199259,81.834,2
6,143,143,The Children's Hospital at Monmouth Medical Center,34,40.295359999999995,-73.98363499999999,Jersey Shore Medical Center,40.20931528,-74.0434046,10.82331966,12960.8,75
7,150,150,Saint Barnabas Children's Center Saint Barnabas Medical Center,34,40.765194,-74.301834,Saint Barnabas Medical Center,40.76218715,-74.3036489,0.367393301,404.15599999999995,2
8,171,171,Goryeb Children's Hospital,34,40.788794,-74.465023,Saint Barnabas Medical Center,40.76218715,-74.3036489,13.93993513,15431.208000000004,55
