,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_2,DISTANCE_ROAD,DISTANCE_TIME
0,131,131,West Virginia University Children's Hospital,54,39.653323,-79.957894,UPMC Mercy,40.43608,-79.98536999999999,86.94543179,106396.65100000009,103
1,146,146,Hoops Family Children's Hospital,54,38.408978000000005,-82.4282,Mount Carmel East,39.97755,-82.84295,177.7888188,210156.54699999982,182
