,index,GEOID,Hospital,State,ORIG_LAT,ORIG_LONG,ThrombCenter,DEST_LAT,DEST_LONG,AERIAL_1,DISTANCE_ROAD,DISTANCE_TIME
0,39,39,Blank Children's Hospital,19,41.589855,-93.63651,University of Iowa,41.659595,-91.548781,174.15055690000003,180021.03500000003,103
1,192,192,MercyOne Children's Hospital - Des Moines,19,41.597763,-93.62566,University of Iowa,41.659595,-91.548781,173.1997246,178657.79600000003,99
2,194,194,University of Iowa Stead Family Children's Hospital,19,41.657270000000004,-91.54992,University of Iowa,41.659595,-91.548781,0.275105497,285.68600000000004,2
